Stop_Signs
STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
EL CAMINO DEL MAR,26TH AVE,NE,WB,0,27668000,EL CAMINO DEL MAR & 26TH AVE,,,,,,,POINT (-122.48634 37.787556),1,1,8,6,33
32ND AVE,EL CAMINO DEL MAR,SE,NB,0,28036000,32ND AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.4931 37.786575),1,1,8,6,33
LAKE ST,30TH AVE,SW,EB,0,28026000,LAKE ST & 30TH AVE,,,,,,,POINT (-122.49046 37.785114),1,1,8,6,33
30TH AVE,EL CAMINO DEL MAR,SE,NB,0,28027000,30TH AVE & EL CAMINO DEL MAR,,,,I,,,POINT (-122.49055 37.786278),1,1,8,6,33
25TH AVE,EL CAMINO DEL MAR,SE,NB,0,27662000,25TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48527 37.787605),1,1,8,6,33
LAKE ST,EL CAMINO DEL MAR,SE,NB,0,28030000,LAKE ST & EL CAMINO DEL MAR,,,,,,,POINT (-122.492065 37.786377),1,1,8,6,33
29TH AVE,LAKE,SE,NB,0,28021000,29TH AVE & LAKE,,,,,,,POINT (-122.48938 37.785084),1,1,8,6,33
LAKE ST,28TH AVE,NE,WB,0,28019000,LAKE ST & 28TH AVE,,,,,,,POINT (-122.48813 37.785606),1,1,8,6,33
25TH AVE,EL CAMINO DEL MAR,NW,SB,0,27662000,25TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48527 37.787605),1,1,8,6,33
EL CAMINO DEL MAR,25TH AVE,NE,WB,0,27662000,EL CAMINO DEL MAR & 25TH AVE,,,,,,,POINT (-122.48527 37.787605),1,1,8,6,33
EL CAMINO DEL MAR,32ND AVE,NE,WB,0,28036000,EL CAMINO DEL MAR & 32ND AVE,,,,,,,POINT (-122.4931 37.786575),1,1,8,6,33
28TH AVE,LAKE,NW,SB,,28020000,28TH AVE & LAKE ST,,,,,,,POINT (-122.48813 37.785606),1,1,8,6,33
25TH AVE NORTH,SCENIC,SE,WB,0,27663000,25TH AVE NORTH & SCENIC,,,,,,,POINT (-122.48532 37.78833),1,1,8,6,33
SEA CLIFF,25TH AVE,NE,WB,0,27664000,SEA CLIFF & 25TH AVE,,,,,,,POINT (-122.48524 37.788925),1,1,8,6,33
EL CAMINO DEL MAR,27TH AVE,NE,WB,0,27670000,EL CAMINO DEL MAR & 27TH AVE,,,,,,,POINT (-122.48741 37.787506),1,1,8,6,33
SEA CLIFF,26TH AVE,NE,WB,0,27671000,SEA CLIFF & 26TH AVE,,,,,,,POINT (-122.48701 37.788765),1,1,8,6,33
27TH AVE,EL CAMINO DEL MAR,NW,SB,0,27670000,27TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48741 37.787506),1,1,8,6,33
